"","OBJECTID","WD11CD","WD11CDO","WD11NM","WD11NMW","Shape_Leng","Shape_Area","treeCount","treeDensity"
"104",105,"E05000105","00AEHF","Willesden Green",NA,7570.81940189,1548051.63,0,0
"105",106,"E05000106","00AFGD","Bickley",NA,10620.3642785,4868338.32432,2992,0.000614583416488942
"106",107,"E05000107","00AFGE","Biggin Hill",NA,16486.2412724,8280370.75414,1372,0.000165693063840906
"107",108,"E05000108","00AFGF","Bromley Common and Keston",NA,18953.602172,8321970.94544,3056,0.000367220700483007
"108",109,"E05000109","00AFGG","Bromley Town",NA,13694.9965044,3716583.87597,3649,0.000981815592424709
"109",110,"E05000110","00AFGH","Chelsfield and Pratts Bottom",NA,23221.1832515,12562935.5463,3550,0.000282577267620352
"110",111,"E05000111","00AFGJ","Chislehurst",NA,17007.1437916,10442411.0162,3592,0.000343981863424074
"111",112,"E05000112","00AFGK","Clock House",NA,9147.5522789,2267363.19284,2328,0.0010267433145859
"112",113,"E05000113","00AFGL","Copers Cope",NA,11535.3429704,3285892.72025,1835,0.000558447933702438
"113",114,"E05000114","00AFGM","Cray Valley East",NA,20243.3850513,13280060.6675,3291,0.000247815132955661
"114",115,"E05000115","00AFGN","Cray Valley West",NA,12505.2720859,3937250.55261,3363,0.000854149349918361
"115",116,"E05000116","00AFGP","Crystal Palace",NA,7809.94888868,2293773.1287,3630,0.00158254535052109
"116",117,"E05000117","00AFGQ","Darwin",NA,31531.0113256,29035300.1836,1016,3.4991888961716e-05
"117",118,"E05000118","00AFGR","Farnborough and Crofton",NA,14411.2647303,6998892.1198,3258,0.000465502245814553
"118",119,"E05000119","00AFGS","Hayes and Coney Hall",NA,16807.1866322,10821578.605,5886,0.00054391325099596
"119",120,"E05000120","00AFGT","Kelsey and Eden Park",NA,13391.1389078,5199190.7481,5409,0.00104035421319239
"120",121,"E05000121","00AFGU","Mottingham and Chislehurst North",NA,8802.52224612,2441624.56407,1705,0.0006983055565048
"121",122,"E05000122","00AFGW","Orpington",NA,9961.12252945,4256230.63641,5236,0.00123019649244736
"122",123,"E05000123","00AFGX","Penge and Cator",NA,8669.67253434,2957098.09268,2954,0.000998952319946755
"123",124,"E05000124","00AFGY","Petts Wood and Knoll",NA,13238.1117503,4301482.11238,2201,0.000511684099221086
"124",125,"E05000125","00AFGZ","Plaistow and Sundridge",NA,9896.5539544,4000906.55744,2211,0.000552624753476387
"125",126,"E05000126","00AFHA","Shortlands",NA,8765.47196118,2456254.35831,2626,0.00106910751775607
"126",127,"E05000127","00AFHB","West Wickham",NA,10304.3065999,4409381.97128,3364,0.000762918708766507
"127",128,"E05000128","00AGGD","Belsize",NA,3857.48095129,780565.107054,542,0.000694368727351262
"128",129,"E05000129","00AGGE","Bloomsbury",NA,4852.7998975,1021454.59813,803,0.000786133814919694
"129",130,"E05000130","00AGGF","Camden Town with Primrose Hill",NA,5550.57559589,1166151.56999,756,0.000648286225779196
"130",131,"E05000131","00AGGG","Cantelowes",NA,4253.09697837,759314.384679,1407,0.00185298741653132
"131",132,"E05000132","00AGGH","Fortune Green",NA,5405.2088063,1006510.94247,1341,0.00133232530657541
"132",133,"E05000133","00AGGJ","Frognal and Fitzjohns",NA,6168.70338433,1530219.21376,1251,0.000817529925610418
"133",134,"E05000134","00AGGK","Gospel Oak",NA,4414.84629059,692299.73995,1401,0.00202368991225678
"134",135,"E05000135","00AGGL","Hampstead Town",NA,8373.64972702,2449389.00911,1110,0.000453174238910061
"135",136,"E05000136","00AGGM","Haverstock",NA,4136.1408667,731766.00235,1412,0.00192957857492541
"136",137,"E05000137","00AGGN","Highgate",NA,7716.4111417,3239258.15296,2423,0.000748010774559412
"137",138,"E05000138","00AGGP","Holborn and Covent Garden",NA,5998.44164644,1194469.11332,1153,0.000965282389585271
"138",139,"E05000139","00AGGQ","Kentish Town",NA,4988.01349038,1028975.4883,1482,0.00144026754460594
"139",140,"E05000140","00AGGR","Kilburn",NA,5060.69174252,685156.432776,1394,0.00203457186316892
"140",141,"E05000141","00AGGS","King's Cross",NA,3459.79894315,609824.911092,730,0.00119706490620194
"141",142,"E05000142","00AGGT","Regent's Park",NA,5813.29373639,1349471.72314,1086,0.000804759359813198
"142",143,"E05000143","00AGGU","St Pancras and Somers Town",NA,5458.654341,1400446.19613,1697,0.00121175665633272
"143",144,"E05000144","00AGGW","Swiss Cottage",NA,6965.04783478,1256730.78558,989,0.000786962499322399
"144",145,"E05000145","00AGGX","West Hampstead",NA,5285.53387314,887291.748628,852,0.000960225316324043
"145",146,"E05000146","00AHGE","Addiscombe",NA,5313.33647575,1593691.35872,1,6.27474068000947e-07
"146",147,"E05000147","00AHGF","Ashburton",NA,9201.48973441,2714983.56411,25,9.20815887446313e-06
"147",148,"E05000148","00AHGG","Bensham Manor",NA,5778.9616796,1445924.12974,26,1.79815797143179e-05
"148",149,"E05000149","00AHGH","Broad Green",NA,9176.04502252,2658493.11319,63,2.36976352081357e-05
"149",150,"E05000150","00AHGJ","Coulsdon East",NA,14484.0354118,7742984.38196,0,0
"150",151,"E05000151","00AHGK","Coulsdon West",NA,14899.6776849,4990965.48516,78,1.56282387108237e-05
"151",152,"E05000152","00AHGL","Croham",NA,10687.7602712,3525490.63862,0,0
"152",153,"E05000153","00AHGM","Fairfield",NA,10896.8666023,3763894.06607,242,6.42951145146086e-05
"153",154,"E05000154","00AHGN","Fieldway",NA,5626.21501774,1482864.90679,0,0
"154",155,"E05000155","00AHGP","Heathfield",NA,20307.5030707,8716064.88851,76,8.71953123017268e-06
"155",156,"E05000156","00AHGQ","Kenley",NA,13736.9484119,6455281.59703,1,1.54911909722964e-07
"156",157,"E05000157","00AHGR","New Addington",NA,9324.42741636,2418069.46196,0,0
"157",158,"E05000158","00AHGS","Norbury",NA,8338.28987506,2516318.53861,109,4.33172503111109e-05
"158",159,"E05000159","00AHGT","Purley",NA,14286.3023489,4176364.23651,119,2.84936833236563e-05
"159",160,"E05000160","00AHGU","Sanderstead",NA,13642.1807543,6345998.61249,0,0
"160",161,"E05000161","00AHGW","Selhurst",NA,6796.78188404,2277079.86792,0,0
"161",162,"E05000162","00AHGX","Selsdon and Ballards",NA,15689.0279399,6405163.69896,0,0
"162",163,"E05000163","00AHGY","Shirley",NA,12122.1822944,2805551.31257,145,5.16832464798058e-05
"163",164,"E05000164","00AHGZ","South Norwood",NA,8833.58570302,2377985.43386,14,5.8873363144207e-06
"164",165,"E05000165","00AHHA","Thornton Heath",NA,5990.50952053,1681105.75751,0,0
"165",166,"E05000166","00AHHB","Upper Norwood",NA,9374.90052907,2623559.60768,0,0
"166",167,"E05000167","00AHHC","Waddon",NA,10468.5856594,3642213.22172,177,4.85968253983324e-05
"167",168,"E05000168","00AHHD","West Thornton",NA,6816.8250169,1968231.27573,76,3.86133484092589e-05
"168",169,"E05000169","00AHHE","Woodside",NA,7581.79998917,2167250.51741,3,1.38424237340783e-06
"169",170,"E05000170","00AJGC","Acton Central",NA,7592.23629096,1775273.17886,1668,0.000939573706094739
"170",171,"E05000171","00AJGD","Cleveland",NA,9251.79988237,2231107.94947,2941,0.00131817915878508
"171",172,"E05000172","00AJGE","Dormers Wells",NA,8389.65450022,2257269.97779,1652,0.000731857516489825
"172",173,"E05000173","00AJGF","Ealing Broadway",NA,6749.51463609,1856765.7387,1800,0.000969427624865887
"173",174,"E05000174","00AJGG","Ealing Common",NA,6868.09840138,2141052.30559,2020,0.000943461303921612
"174",175,"E05000175","00AJGH","East Acton",NA,13415.6699896,4275480.19163,2120,0.000495850736051855
"175",176,"E05000176","00AJGJ","Elthorne",NA,7503.37823709,1999786.57131,2248,0.00112411995972412
"176",177,"E05000177","00AJGK","Greenford Broadway",NA,11074.3173529,2516689.73564,2177,0.000865025183345385
"177",178,"E05000178","00AJGL","Greenford Green",NA,11806.6724777,3384776.34547,1587,0.000468864066046572
"178",179,"E05000179","00AJGM","Hanger Hill",NA,10696.3382835,3276733.24978,2763,0.000843217860401033
"179",180,"E05000180","00AJGN","Hobbayne",NA,6742.31217454,2209358.75879,1790,0.000810189831268118
"180",181,"E05000181","00AJGP","Lady Margaret",NA,6887.72556463,1541809.2956,972,0.000630428161752476
"181",182,"E05000182","00AJGQ","Northfield",NA,7458.62936507,1540105.18568,2253,0.0014628870943008
"182",183,"E05000183","00AJGR","North Greenford",NA,10430.0675971,3257412.81364,1365,0.00041904421640497
"183",184,"E05000184","00AJGS","Northolt Mandeville",NA,8315.70344655,2756663.4383,1978,0.000717534093033875
"184",185,"E05000185","00AJGT","Northolt West End",NA,9918.15249686,3545338.8788,1134,0.000319856588823268
"185",186,"E05000186","00AJGU","Norwood Green",NA,10637.2015057,3798231.14232,1430,0.000376491041860012
"186",187,"E05000187","00AJGW","Perivale",NA,11516.2270873,3365648.23776,1822,0.000541351879721362
"187",188,"E05000188","00AJGX","South Acton",NA,6546.62086129,1718995.20806,1821,0.00105933977677938
"188",189,"E05000189","00AJGY","Southall Broadway",NA,7250.01625109,1617195.94745,950,0.000587436545025244
"189",190,"E05000190","00AJGZ","Southall Green",NA,5958.67004665,1584231.42942,525,0.000331390976248311
"190",191,"E05000191","00AJHA","Southfield",NA,5416.0999982,1428682.44984,2083,0.0014579866927239
"191",192,"E05000192","00AJHB","Walpole",NA,5411.06537462,1465697.8775,2979,0.0020324788933062
"192",193,"E05000193","00AKGL","Bowes",NA,9299.44317877,1483363.99466,749,0.00050493338296827
"193",194,"E05000194","00AKGM","Bush Hill Park",NA,9538.82615367,2524492.87671,1937,0.000767282814644564
"194",195,"E05000195","00AKGN","Chase",NA,23737.7923524,16935430.0802,18560,0.00109592729042007
"195",196,"E05000196","00AKGP","Cockfosters",NA,19915.9024968,10412778.142,15225,0.00146214581663476
"196",197,"E05000197","00AKGQ","Edmonton Green",NA,9900.49975101,3126448.37277,2120,0.000678085721312041
"197",198,"E05000198","00AKGR","Enfield Highway",NA,10053.7970752,4636592.09125,1675,0.000361256709028092
"198",199,"E05000199","00AKGS","Enfield Lock",NA,8336.79123181,3252251.10459,2076,0.000638327095057286
"199",200,"E05000200","00AKGT","Grange",NA,9204.00033172,3285150.85901,1104,0.00033605762638434
"200",201,"E05000201","00AKGU","Haselbury",NA,7059.37743274,1796006.79205,1152,0.000641422964042129
